problem,numSols,gap,stage3Time
30n20b8,1,233.11258278145695,0.092883791
academictimetablesmall,1,inf,151.746899713
arki001,1,2.4742851605110694,2.1369358949999997
bab2,1,13.325241310683978,8.332766862
cmflsp50-24-8-8,1,15.490996378826896,5.218349688999999
csched007,1,39.60113960113986,1.17930625
csched008,1,9.826589595375722,0.055035988000000036
dws008-01,1,30.1194454431348,12.804231438999999
germanrr,1,5.29285369137016,0.20378773999999922
ic97p,1,10.984271943176052,0.014893290000000003
ic97t,1,11.958819550143735,0.46026698600000004
icir97p,1,15.019762845849803,0.9320496469999999
icir97t,1,8.235294117647058,1.2068596089999999
lectsched-5-obj,1,1212.5,25.628810268
momentum1,1,188.4147083916197,56.190897687
mushroom-best,1,108694.12487510989,0.5595605429999999
neos-1456979,1,86.93181818181819,0.7376472089999999
neos-1582420,1,76.92307692307692,0.12255837199999997
neos-2746589-doon,1,5.6667662583408465,1.763843799
neos-3024952-loue,1,199.45432800119556,1105.134767566
neos-3216931-puriri,1,134.95513180033652,81.340601507
neos-3381206-awhea,1,4.856512141280353,0.025300920000000005
neos-3656078-kumeu,1,23.9641062237134,16.214974347
neos-4300652-rahue,1,167.5803137839011,217.43306387500002
neos-4338804-snowy,1,102444.1196464989,0.302100767
neos-4387871-tavua,1,269.5322390541204,2.3170215240000003
neos-4532248-waihi,1,949.3506493506494,3.8109784450000177
neos-4722843-widden,1,145.3044877323117,5.302056030999999
neos-5049753-cuanza,1,38.96797223030645,19.446649796999992
neos-5104907-jarama,0,0,3271.013097272
neos-5107597-kakapo,1,46077.03703703704,28.010939893
neos-5114902-kasavu,1,292.9007633587787,153.65063067699998
neos-848589,1,916703.1882878775,3.2033927529999886
neos-960392,1,100.0,0.7457581499999986
neos16,1,2.4663677130044843,4.339735381000001
neos20,1,47.92626728110599,0.024337814999999985
nh97p,1,12.270803949224259,0.23950969599999994
nh97t,1,11.354019746121393,3.273892916
ns1830653,1,523.712540005819,3.820614599
physiciansched3-3,1,906.674658147254,17.756087675999996
physiciansched6-2,1,1.41918741383505,0.6139461000000006
piperout-08,1,97.8673383711167,1.6973012319999998
piperout-27,1,107.53323485967503,2.3635046859999997
proteindesign121hz512p9,1,29.735234215885946,0.6460984280000002
rB12-111111,1,63.5894876912841,0.7394300380000001
rC10-100001,1,493.57452666026023,0.0749256439999999
rC12-100000,1,213.0491089929548,0.23098384399999983
radiationm18-12-05,1,127.80940453148128,0.04478221900000001
radiationm40-10-02,1,113.40324989699216,0.2100438260000006
rd-rplusc-21,1,58.50137802074966,0.19741362099999948
rocI-4-11,1,83.05367775804238,8.091366188
rocII-5-11,1,91.05569698258326,1.6496818170000003
satellites2-60-fs,1,352.6315789460388,2.3486440240000093
supportcase26,1,618.659973717525,0.005685716999999979
supportcase33,1,100.0,0.15819481700000004
swath,1,163.5275109114249,4.037384501
swath1,1,146.12363558569453,0.48601654399999994
timtab1,1,59.33833874669835,0.127394104
timtab2,1,48.88432917477773,1.8026444369999999
traininstance2,1,144.72291840712893,0.015976060000000014
traininstance6,1,3043.1601272534463,0.0071779100000000096
unitcal_7,1,9.602896670614882,6.566570447
