problem,numSols,stage,gap,time,iterations
neos-3627168-kasai,1,2,1.8421456955805078,0.070400387,13
neos-3656078-kumeu,0,2,100,4.059121808,20
neos-3754480-nidda,1,2,99.95355486949884,0.040186599,11
neos-4300652-rahue,0,2,100,19.182439403,20
neos-4338804-snowy,0,2,100,0.16504626,20
neos-4387871-tavua,0,2,100,0.448817129,20
neos-4413714-turia,1,1,46.56349612882139,19.962748254,7
neos-4532248-waihi,0,2,100,91.992493314,20
neos-4647030-tutaki,1,2,68.61607549806386,12.32077123,13
neos-4722843-widden,0,2,100,14.787282819,20
neos-4738912-atrato,1,2,8.122366378129945,0.124903073,6
neos-4763324-toguru,1,1,36.53109657893551,16.154285293,9
neos-4954672-berkel,1,2,69.74918094892288,0.033461209,11
neos-5049753-cuanza,0,2,100,46.522021583,20
neos-5052403-cygnet,1,1,2.150537634408602,53.835852196,3
neos-5093327-huahum,0,2,100,1.481309075,20
neos-5104907-jarama,0,2,100,304.849199805,20
neos-5107597-kakapo,0,2,100,0.277735984,20
neos-5114902-kasavu,0,2,100,933.492382796,20
neos-5188808-nattai,1,2,97.55250298512922,4.100982265,17
neos-5195221-niemur,1,2,88.92383921109065,5.346729573,11
neos-631710,1,1,60.117878192534384,2.290228171,1
neos-662469,1,2,67.9157226531912,4.140250125,11
neos-787933,1,2,0.0,0.030731879,1
neos-827175,1,1,0.0,0.43121713,0
neos-848589,0,2,100,31.120757011,20
neos-860300,1,1,6.293911007025761,0.715252286,8
neos-873061,0,2,100,16.736374329,20
neos-911970,1,2,71.80081363612956,0.054572431,12
neos-933966,1,1,0.625,4.04401711,6
neos-950242,0,2,100,4.76305325,20
neos-957323,1,1,2.0985787219612355,2.566195735,3
neos-960392,0,2,100,6.053677767,20
neos10,1,2,64.49339207048457,0.123538911,4
neos16,0,2,100,0.130805886,20
neos17,0,2,100,0.120798951,20
neos20,0,2,100,0.177923118,20
neos5,1,1,65.9090909090909,0.005293343,1
neos7,1,2,11.52053965149142,0.04992939,4
neos8,1,2,0.0,0.113681086,3
net12,0,2,100,3.88195465,20
netdiversion,1,2,45.73991031390135,225.714193129,12
nexp-150-20-8-5,1,1,59.33098591549296,0.260981703,3
nh97p,0,2,100,0.168774623,20
nh97t,0,2,100,0.169648173,20
noswot,0,2,100,0.026388982,14
ns1116954,0,2,100,21.959007127,20
ns1208400,0,2,100,6.078722512,20
ns1644855,1,1,21.60507325606806,227.038193,4
ns1760995,1,2,77.5726089647513,12.921070017,11
ns1830653,0,2,100,1.635065984,20
ns1952667,0,2,100,11.81100014,10
nsrand-ipx,1,1,41.92377495462795,0.058104559,1
nu25-pr12,1,2,3.551619252102344,0.067246236,3
nursesched-medium-hint03,0,2,100,62.219049874,20
nursesched-sprint02,1,2,26.582278481012658,3.609424413,18
nw04,1,1,3.722736096836816,1.057607212,4
opm2-z10-s4,1,1,94.0425020289158,27.257127365,1
opt1217,1,1,0.0,0.018939427,4
p200x1188c,0,2,100,0.115974669,20
p2756,1,2,41.987000928505104,0.049443203,5
peg-solitaire-a3,0,2,100,8.813412662,20
pg,1,2,11.881973635923671,0.059971415,12
pg5_34,1,1,5.8827405454979225,0.047397367,7
physiciansched3-3,0,2,100,28.613318608,20
physiciansched6-2,0,2,100,4.306261325,20
piperout-08,0,2,100,0.855539554,20
piperout-27,0,2,100,1.135994286,20
pk1,0,2,100,0.056824217,20
pp08a,1,2,58.96147403685092,0.017075352,13
pp08aCUTS,1,2,57.0677570093458,0.023388715,13
proteindesign121hz512p9,0,2,100,4.907632514,20
proteindesign122trx11p8,0,2,100,3.940264572,20
protfold,0,2,100,4.320021475,20
qap10,1,1,12.820512820496557,17.682322789,4
qiu,1,1,100.0,0.036564715,1
rB10-011000,0,2,100,0.391548785,20
rB10-011001,0,2,100,0.388582512,20
rB11-010000,0,2,100,0.882939388,20
rB11-110001,0,2,100,2.292380336,20
rB12-111111,0,2,100,2.369208101,20
rC10-001000,0,2,100,0.166176149,20
rC10-100001,0,2,100,0.963483051,20
rC11-010100,1,1,77.62951173928279,0.189381073,1
rC11-011100,1,1,82.77451594814791,0.157718178,1
rC12-100000,1,2,90.77401008435491,1.892747799,13
rC12-111100,1,1,66.09018637929512,0.268024894,1
radiationm18-12-05,0,2,100,0.654792947,20
radiationm40-10-02,0,2,100,3.259146202,20
rail01,1,2,20.31787804565085,2563.086141926,14
rail02,0,0,0,3600.0,0
rail507,1,1,38.51590106007067,1.087386959,1
ran14x18-disj-8,1,2,17.98497569597879,0.171973889,13
rd-rplusc-21,0,2,100,1.766696344,20
reblock115,0,2,100,0.615367537,20
rmatr100-p10,1,1,0.47058823529411764,0.666507261,4
rmatr200-p5,1,1,21.127006280530356,31.089957708,7
rocI-4-11,0,2,100,0.387176405,20
rocII-5-11,0,2,100,1.20480452,20
roi2alpha3n4,1,1,51.45825825715756,7.030462567,7
roi5alpha10n8,1,1,56.58113205897783,83.027537064,7
roll3000,0,2,100,0.441395611,20
rout,0,2,100,0.071841034,20
s100,1,1,2.97150242369291,294.487442233,5
s250r10,1,1,0.05382611447755174,49.871230382,2
satellites2-40,0,2,100,282.895929963,20
satellites2-60-fs,0,2,100,264.145005443,20
savsched1,1,2,26.531497591159138,125.639926021,7
sct2,1,1,37.16358263788506,0.14415605,5
set1ch,0,2,100,0.046124073,20
seymour,1,1,25.659050966608085,0.573744643,1
seymour1,1,1,4.5651385329301135,1.131724461,3
sing326,1,1,39.515008598007576,11.526768076,8
