problem,numSols,stage,gap,time,iterations
10teams,1,2,2.1186440677966103,0.685296365,11
30n20b8,1,3,33.333333333333336,1.531131831,20
50v-10,1,3,55.745075649887056,0.11516919,10
CMS750_4,1,1,31.89189189189189,2.266248216,32
a1c1s1,1,3,41.51907053582794,0.350741498,20
academictimetablesmall,1,3,100.0,922.2973484,1148
aflow30a,1,3,24.214659685863875,0.072435591,20
aflow40b,1,3,40.71065989847716,0.190325934,20
air04,1,1,2.2310076979344458,1.767475181,5
air05,1,1,2.6358535144713526,0.673690737,5
app1-1,1,3,33.333333333333336,0.292399604,20
app1-2,1,3,43.90243902439025,5.326528362,20
arki001,1,3,2.793457834243405,23.368255522,985
assign1-5-8,1,1,6.607929515419379,0.025730857,4
atlanta-ip,1,3,13.46986024069363,16.819147943,20
b1c1s1,1,3,62.53230151664475,0.286305096,20
bab2,1,1,40.30424195407707,181.97048658199998,109
bab6,1,2,65.33822681767708,200.346282247,283
beasleyC3,1,3,9.70059880239521,0.119425256,20
binkar10_1,1,2,3.8714087630304066,0.083930113,20
blp-ar98,1,1,44.20749728216853,4.487045522,39
blp-ic98,1,1,33.922915251853205,0.229165896,1
bnatt400,0,3,100,167.59687610400002,744
bppc4-08,1,1,26.38888888888889,0.123117111,6
brazil3,1,2,86.81318681318682,51.904705408999995,42
buildingenergy,1,2,0.7268947290552298,109.338135909,3
cap6000,1,1,0.34984418961261365,0.028529457,1
cbs-cta,1,3,100.0,1.144529021,20
chromaticindex1024-7,1,1,0.0,60.927388421,5
chromaticindex512-7,1,1,0.0,57.371923434,5
cmflsp50-24-8-8,0,3,100,183.772862997,951
co-100,1,2,75.10920510233572,4.081288131,12
cod105,1,1,100.0,1.6224628,1
comp07-2idx,1,2,97.74436090225564,4.397663203,11
comp21-2idx,1,2,79.78142076502732,2.632734065,11
cost266-UUE,1,2,30.543603192608618,0.219697755,13
cryptanalysiskb128n5obj16,0,0,0,3603.329926503,0
csched007,1,3,43.47826086956522,10.226337754,886
csched008,1,3,7.4866310160427805,0.659943624,20
cvs16r128-89,1,1,97.9381443298969,0.873354471,1
dano3_3,1,1,0.01038420532413522,18.688259126,2
dano3_5,1,1,0.3163367627454773,19.261231125,2
dano3mip,1,1,13.375630388807545,23.479282918,5
danoint,1,3,1.2030075187969882,0.644253338,20
disctom,1,1,0.0,1.207873653,2
drayage-100-23,1,2,19.760526676793454,0.32941126,14
drayage-25-23,1,1,6.284618884172661,0.168626782,4
ds,1,1,97.45787653844357,5.467870154,1
dws008-01,1,3,32.884268492501505,62.702143635,781
eil33-2,1,1,42.70880893104147,0.060926414,1
eilA101-2,1,1,64.8886984572174,0.912317029,1
