problem,numSols,gap,stage3Time
30n20b8,1,183.11258278145695,0.4784330080000001
CMS750_4,1,294.04761904761904,0.001830427999999884
academictimetablesmall,1,inf,946.657029013
arki001,1,0.9102821476895298,0.64169806
bab2,1,26.41588062295295,18.537055486999975
bab6,1,31.277510780298325,6.574615994999988
cmflsp50-24-8-8,1,12.663643645466903,13.365322118999998
csched007,1,53.276353276346796,4.412446898
dws008-01,1,81.44981875903152,12.548280999000001
eilA101-2,1,466.38764181779794,0.006250292000004265
glass4,1,241.6660375066062,0.009683941999999994
ic97p,1,10.045662100456621,0.04187950700000001
ic97t,1,8.853373921867073,4.929514163
icir97p,1,21.075098811968395,0.174330471
icir97t,1,9.39607843137255,0.86723648
irish-electricity,1,20.683889961982583,10.934953854000014
lectsched-5-obj,1,2083.3333333333335,5.534525507000001
markshare1,1,728500.0,0.0011841789999999935
markshare_4_0,1,308100.0,0.0012072750000000007
momentum1,1,389.1497281358179,0.015947443000001726
neos-1456979,1,64.20454545454545,4.630424527000001
neos-1582420,1,53.84615384615385,1.182643394
neos-2746589-doon,1,25.092122298576125,137.062715039
neos-2987310-joes,1,100.0,0.002633496999999707
neos-3024952-loue,1,186.14516370159964,22.042310139
neos-3216931-puriri,1,128.30902972518228,142.523197208
neos-3381206-awhea,1,4.856512141280353,1.242105794
neos-3555904-turama,1,4.322766570605207,0.28504653300001337
neos-4300652-rahue,1,206.40642510272448,15.885663093999995
neos-4338804-snowy,1,1087.8314072059798,0.003985458999999997
neos-4387871-tavua,1,326.95843372607646,0.4918261090000001
neos-4532248-waihi,1,949.3506493506494,10.401396386999991
neos-5049753-cuanza,1,34.69750957534185,30.118300020999996
neos-5107597-kakapo,1,961.7283950617284,3.069791058
neos-848589,1,1849724.9085875584,0.3869246670000024
neos20,1,49.07834101382488,1.933628408
nh97p,1,9.167842030465435,0.019944746000000013
nh97t,1,11.777150916784203,2.201462482
ns1830653,1,310.34817185530017,0.32730038399999994
physiciansched3-3,1,14.870683131480767,18.421295466000004
physiciansched6-2,1,5.070553888573514,3.3151146639999993
piperout-08,1,41.41057934508816,1.8425782350000002
piperout-27,1,0.0,1.270816215
proteindesign122trx11p8,1,1.1448196908986834,0.15722856600000057
rB12-111111,1,69.9713318461117,0.302760288
rC10-100001,1,413.4405111290029,0.0822947759999999
radiationm18-12-05,1,501.29796197199136,0.24200017500000004
radiationm40-10-02,1,1550.1854140914709,0.1256501889999999
rd-rplusc-21,1,101.85801245863759,4.123218038999999
rocI-4-11,1,49.830545581270265,6.724588475999999
rocII-5-11,1,90.94395343870247,2.5814023829999995
satellites2-40,1,331.57894736842104,0.841450155000075
satellites2-60-fs,1,610.5263157867868,0.08354211799996847
swath,1,52.59021437740692,0.07317260200000009
swath1,1,299.7612494179468,0.012051455000000155
timtab1,1,80.40004079645827,1.3361179550000002
timtab2,1,63.86663748444045,1.4860741650000002
traininstance2,1,35.44973544973545,3.850016031
traininstance6,1,27.889713679745494,0.16606138599999998
unitcal_7,1,46.37122752671978,0.12964394799999823
