problem,numSols,stage,gap,time,iterations
10teams,1,2,2.1186440677966103,0.683318158,11
30n20b8,0,2,100,1.24866109,20
50v-10,0,2,100,0.110249572,10
CMS750_4,0,2,100,1.479267073,20
a1c1s1,0,2,100,0.299159272,20
academictimetablesmall,0,2,100,12.332061613,20
aflow30a,0,2,100,0.06857798,20
aflow40b,0,2,100,0.178649398,20
air04,1,1,1.4292988709592456,1.891647954,7
air05,1,1,2.6358535144713526,0.678229804,5
app1-1,0,2,100,0.293272428,20
app1-2,0,2,100,6.109656938,20
arki001,0,2,100,0.295405987,20
assign1-5-8,1,1,4.072398190046149,0.029122953,5
atlanta-ip,1,1,10.90032491895907,10.007277074,6
b1c1s1,0,2,100,0.247600752,20
bab2,0,2,100,89.042768799,20
bab6,0,2,100,46.252759287,20
beasleyC3,0,2,100,0.111800049,20
binkar10_1,0,2,100,0.085574215,20
blp-ar98,1,2,44.628678875506914,2.295398971,19
blp-ic98,1,1,23.24602194600889,0.459674081,3
bnatt400,0,2,100,3.028973739,20
bppc4-08,1,1,26.38888888888889,0.141364808,6
brazil3,0,2,100,37.745557838,20
buildingenergy,1,2,1.1486629973112918,124.040608559,3
cap6000,1,1,0.34984418961261365,0.029276969,1
cbs-cta,0,2,100,1.037145355,20
chromaticindex1024-7,1,1,0.0,60.93526651,5
chromaticindex512-7,1,1,0.0,93.673476617,6
cmflsp50-24-8-8,0,2,100,3.451545472,20
co-100,1,2,75.10920510233572,4.70867197,12
cod105,1,1,100.0,1.677734092,1
comp07-2idx,1,2,96.95431472081218,4.473825287,11
comp21-2idx,1,2,78.55072463768116,2.596821495,11
cost266-UUE,0,2,100,0.272615956,20
cryptanalysiskb128n5obj16,0,2,100,191.357895534,20
csched007,0,2,100,0.256634177,20
csched008,0,2,100,0.214086915,20
cvs16r128-89,1,1,97.9381443298969,0.877366536,1
dano3_3,1,1,0.01038420532413522,18.606077378,2
dano3_5,1,1,0.3163367627454773,19.350373767,2
dano3mip,1,1,13.375630388807545,23.402949071,5
danoint,0,2,100,0.192065042,20
disctom,1,1,0.0,1.171687293,2
drayage-100-23,1,2,9.930384136334695,0.280514556,12
drayage-25-23,1,1,6.284618884172661,0.169032228,4
ds,1,1,98.22634914838679,5.57733356,1
dws008-01,0,2,100,0.940207288,20
eil33-2,1,1,76.87622937403727,0.058581228,1
eilA101-2,1,1,80.84131692238944,0.909261828,1
enlight_hard,0,2,100,0.033464331,16
exp-1-500-5-5,1,2,71.16908576154448,0.05371509,19
fast0507,1,1,15.533980582524272,0.800066593,1
fastxgemm-n2r6s0t2,0,2,100,0.334815557,20
fhnw-binpack4-48,0,2,100,0.465558378,20
fiball,1,2,10.38961038961039,0.794328435,5
fiber,1,2,58.39038484869742,0.041942299,11
fixnet6,0,2,100,0.059018014,20
gen-ip002,1,2,9.532299706806066,0.005066392,1
gen-ip054,1,2,9.262959049364076,0.007443519,4
germanrr,0,2,100,4.521667853,20
gesa2-o,0,2,100,0.112968489,20
gesa2,0,2,100,0.094596542,13
gfd-schedulen180f7d50m30k18,0,2,100,340.738698606,20
