problem,numSols,stage,gap,time,iterations,restarts
10teams,1,2,5.8441558441558445,17.784723717,655,58
30n20b8,1,3,217.5496688741722,22.325116251,1339,296
50v-10,1,2,131.6986698582576,0.192580569,26,0
CMS750_4,1,1,82.93650793650794,5.888163339,123,27
a1c1s1,1,1,27.139014800593106,0.197329046,32,2
academictimetablesmall,1,3,inf,2345.167317516,1105,0
aflow30a,1,1,126.07944732297064,0.065450511,37,5
aflow40b,1,1,252.22602739726028,0.421635997,81,21
air04,1,1,0.43643229955287954,12.277540043,4,0
air05,1,1,1.4787290513384395,4.177899916,6,0
app1-1,1,1,33.333333333333336,0.23905648,38,4
app1-2,1,1,46.34146341463415,17.760426868,92,49
arki001,1,3,2.334867023781717,8.79796636,664,167
assign1-5-8,1,1,0.47169811320849003,0.034917139,23,0
atlanta-ip,1,2,31.12303491124433,51.208095204,109,13
b1c1s1,1,1,175.59408007985576,0.176352445,34,4
bab2,1,3,60.746170730225636,848.17858114,761,84
bab6,1,3,49.60091387474738,587.556597905,1163,172
beasleyC3,1,1,11.405835543766578,0.119422836,36,6
binkar10_1,1,1,12.939992533224967,0.015679047,2,0
blp-ar98,1,1,68.20596264149545,1.348811525,13,0
blp-ic98,1,1,19.24511607212877,0.975464197,7,0
bnatt400,0,0,0,0,0,0
bppc4-08,1,1,20.754716981132077,0.38548673,62,9
brazil3,1,2,458.3333333333333,42.093460453,34,0
buildingenergy,0,0,0,0,0,0
cap6000,1,1,0.34984418961261365,0.04718486,1,0
cbs-cta,1,1,0.0,1.656641852,31,1
chromaticindex1024-7,1,1,0.0,6.124436679,2,0
chromaticindex512-7,1,1,0.0,2.968398825,2,0
cmflsp50-24-8-8,1,1,25.3922070445561,48.837323817,218,47
co-100,1,1,346.1800760127286,2.63437803,13,0
cod105,1,1,100.0,2.010815709,1,0
comp07-2idx,1,2,3966.6666666666665,17.059361327,27,0
comp21-2idx,1,2,345.94594594594594,16.227922051,24,0
cost266-UUE,1,1,42.78687881236125,0.393696001,29,0
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,70.65527065527066,9.921831847,1902,554
csched008,1,2,9.248554913294798,4.023860203,969,299
cvs16r128-89,1,1,97.9381443298969,0.098212516,1,0
dano3_3,1,1,0.008979385063413088,34.394937933,18,0
dano3_5,1,1,5.911696717056459e-13,287.49102101,36,3
dano3mip,1,1,9.731820913461535,1354.596761082,73,17
danoint,1,2,26.33181126331811,0.590804721,136,52
disctom,1,1,0.0,5.503967966,4,0
drayage-100-23,1,1,67.20029948000602,0.483460153,29,0
drayage-25-23,1,1,50.322179657082714,0.400457992,22,0
ds,0,0,0,0,0,0
dws008-01,1,3,38.734577166059225,29.458245509,739,203
eil33-2,1,2,85.3467585600208,36.712477521,656,177
eilA101-2,1,2,86.99016142789647,1675.320500675,327,3
enlight_hard,1,3,0.0,1.419281876,1139,395
exp-1-500-5-5,1,1,54.29902712219406,0.026509408,26,0
fast0507,1,1,17.816091954022987,1.64098085,1,0
fastxgemm-n2r6s0t2,1,1,1173.9130434782608,0.113285277,24,0
fhnw-binpack4-48,0,0,0,0,0,0
fiball,1,2,9.420289855072463,5.28693528,65,4
fiber,1,1,173.24675465443744,0.005583231,1,0
fixnet6,1,1,21.591765001255336,0.044679247,31,1
gen-ip002,1,2,9.532299706806066,0.003103655,1,0
gen-ip054,1,2,16.68493724548717,0.00138994,1,0
germanrr,1,2,2.3866921651034976,7.427504755,46,7
gesa2-o,1,2,28.65048004092196,0.126594234,47,5
gesa2,1,2,2.0067441348849964,0.080841207,26,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.192967752,1,0
glass4,1,1,374.99996250039374,0.224507002,256,125
gmu-35-40,1,1,1.4078866832222148,0.086350728,43,4
gmu-35-50,1,1,0.9569683492705324,0.150483183,49,9
graph20-20-1rand,1,1,11.11111111111111,27.554121608,31,0
graphdraw-domain,1,2,43.20837143147414,0.138680548,120,38
h80x6320d,1,1,27.194609526328215,1.354028316,35,3
harp2,1,1,12.760405242131725,0.022511331,12,0
highschool1-aigio,1,2,inf,514.377443254,71,7
hypothyroid-k1,1,1,0.0,36.472069547,1,0
ic97p,1,3,13.647894469533222,3.098362018,981,346
ic97t,0,0,0,0,0,0
icir97p,1,3,21.075098811968395,12.830069985,881,196
icir97t,1,2,14.117647058823529,6.907825859,521,312
irish-electricity,1,3,35.01584086285301,1307.177281287,961,5
irp,1,1,1.6424061044851994,1.303419841,18,0
istanbul-no-cutoff,1,1,9.659996418868294,4.097345698,11,0
k1mushroom,1,1,18.248175182481752,25.813811032,1,0
lectsched-5-obj,1,3,2725.0,123.194203067,1501,0
leo1,1,1,44.25665697578534,0.14832003,1,0
leo2,1,1,46.261673158954196,0.237140876,1,0
liu,1,1,674.7232472324723,0.518087543,91,21
lotsize,1,1,66.80200919473448,0.317216133,46,9
mad,1,1,6642.537313432836,0.080551395,14,0
manna81,1,2,2.1498024916438774,0.072548064,3,0
map10,1,1,20.711732711732715,76.099353149,65,18
map16715-04,1,1,27.92792792792793,89.589748478,63,16
markshare1,1,1,52000.0,0.077251951,82,18
markshare2,1,1,88500.0,0.121106409,85,19
markshare_4_0,1,1,33200.0,0.029876272,81,19
mas74,1,2,22.715421983357643,0.072549615,90,8
mas76,1,2,293.31137899917763,0.076688216,90,10
