problem,numSols,gap,stage3Time
30n20b8,1,83.11258278145695,0.47876395000000005
CMS750_4,1,294.04761904761904,0.0017003210000003932
academictimetablesmall,1,inf,373.017408993
arki001,1,1.1822246283133044,0.15627997700000001
bab2,1,24.860259900960216,32.090247962000035
bab6,1,38.09130967442108,5.331829626000001
cmflsp50-24-8-8,1,14.48233874599398,5.161851935000001
csched007,1,47.293447293447294,5.952424095
dws008-01,1,66.41216645307921,8.492740355
eilA101-2,1,466.38764181779794,0.006154163000019253
glass4,1,258.3325458416017,0.008032932
ic97p,1,16.489091832191786,0.005986392000000007
ic97t,1,7.382039573820395,3.981868336
icir97p,1,21.075098811968395,0.17966689700000005
icir97t,1,7.2784313725490195,0.827700674
irish-electricity,1,18.51475025760722,28.79190082299999
lectsched-5-obj,1,1725.0,4.750771257
markshare1,1,728500.0,0.0011518349999999969
markshare_4_0,1,308100.0,0.0011250879999999998
momentum1,1,389.1497281358179,0.015478137999998864
neos-1456979,1,121.02272727272727,8.23428174
neos-1582420,1,36.26373626373626,1.229314364
neos-2746589-doon,1,28.722238820834804,126.475052456
neos-2987310-joes,1,100.0,0.0026786279999999607
neos-3024952-loue,1,80.79309313798774,22.843993772
neos-3216931-puriri,1,131.22546270330903,60.89874000799999
neos-3381206-awhea,1,4.856512141280353,2.24210172
neos-3555904-turama,1,4.322766570605207,0.2822542809999504
neos-4300652-rahue,1,206.40642510272448,13.426991485999991
neos-4338804-snowy,1,1087.8314072059798,0.003951883999999989
neos-4387871-tavua,1,74.58341026024098,3.154383997
neos-4532248-waihi,1,949.3506493506494,71.57130801699998
neos-5049753-cuanza,1,21.708185666491183,13.210422849000004
neos-5107597-kakapo,1,940.9876543209876,3.745835264
neos-848589,1,1849724.9085875584,0.38328216600000076
neos20,1,60.13824884792627,1.6386246
nh97p,1,7.404795486600846,1.381861711
nh97t,1,11.777150916784203,2.042497564
ns1830653,1,300.64979148482206,1.8417352610000002
physiciansched3-3,1,16.65026013739179,17.343283293000013
physiciansched6-2,1,4.462330711215635,2.349653474
piperout-08,1,0.0,1.025489434
piperout-27,1,37.9615952732644,1.8797586049999997
proteindesign122trx11p8,1,1.1448196908986834,0.15047745700002224
rB12-111111,1,55.407322609682595,0.4213056030000004
rC10-100001,1,397.1508713606732,0.08186643000000005
radiationm18-12-05,1,501.29796197199136,0.03540053799999998
radiationm40-10-02,1,1550.1854140914709,0.09854417299999962
rd-rplusc-21,1,101.85801245863759,2.8669342909999997
rocI-4-11,1,33.053702674145704,13.273381962999999
rocII-5-11,1,90.87203627491992,4.1314794589999995
satellites2-40,1,331.57894736842104,0.8458571300000131
satellites2-60-fs,1,610.5263157867868,0.08045298299998649
swath,1,52.59021437740692,0.06927860500000005
swath1,1,299.7612494179468,0.012009099000000134
timtab1,1,59.288127703405706,1.34242766
timtab2,1,67.4056139198065,1.522972138
traininstance2,1,28.334725703146756,0.923870893
traininstance6,1,45.669848002827855,0.775817946
unitcal_7,1,46.37122752671978,0.13192139899999944
