problem,numSols,gap,stage3Time
10teams,1,3.463203463203463,53.407834048999995
30n20b8,1,249.33774834437085,3.3421157919999995
arki001,1,0.3019835107597399,1.536311401
bab2,1,9.722970938665956,93.953294615
bab6,1,11.377591558039162,222.085540955
comp21-2idx,1,1197.2972972972973,3.5863682149999985
csched007,1,45.58404558404558,4.331380896
csched008,1,8.670520231213873,16.59172772
danoint,1,8.574327752409932,6.842599288
eilA101-2,1,466.38764181779794,20.622301971
fastxgemm-n2r6s0t2,1,279.1304347826087,0.19526818600000007
fiball,1,10.144927536231885,0.14615158100000025
hypothyroid-k1,1,86.11013679410733,7.493565002
ic97p,1,5.707762557077626,0.022223948999999993
ic97t,1,10.62912227295789,1.5308363420000002
icir97p,1,13.818181818181818,12.679608720000001
icir97t,1,0.9568627450980393,5.309348283
lectsched-5-obj,1,1341.6666666666667,215.445394038
milo-v12-6-r2-40-1,1,190.76353964677602,0.21057765699999997
momentum1,1,0.044036611673477964,13.684035091
mushroom-best,1,231651.69947431,0.2182568180000004
neos-1456979,1,168.75,19.985374594999996
neos-1582420,1,14.285714285714176,2.800885648
neos-2657525-crna,1,960.9824061658497,5.203471896
neos-2746589-doon,1,1137.974305348073,1014.982552696
neos-3046615-murg,1,58.9375,0.011824437
neos-3216931-puriri,1,53.64554122265978,1183.1177014730001
neos-3381206-awhea,1,4.856512141280353,21.223901835000003
neos-3656078-kumeu,1,716.0519882783437,425.316281811
neos-4338804-snowy,1,532.087015635622,0.12329021900000003
neos-4387871-tavua,1,201.2407175972538,11.534654772
neos-4532248-waihi,1,949.3506493506494,286.467096706
neos-4722843-widden,1,91.63270747975943,5.7428888329999985
neos-5107597-kakapo,1,46579.753086419754,1.144692483
neos-848589,1,433578.9465659887,68.235305351
neos16,1,1.345291479820628,4.95171073
neos20,1,38.24884792626728,0.698176479
nh97p,1,7.757404795486649,5.463547194
nh97t,1,8.674188998589692,2.1816677650000003
ns1208400,1,0.0,210.69814242799998
ns1830653,1,223.96469789545145,6.956734768
physiciansched3-3,1,1043.0511510005017,342.73610904299994
physiciansched6-2,1,66.172654285946,15.427490929
piperout-08,1,42.78757346767422,13.140053524999999
piperout-27,1,29.68980797636632,55.420120164
proteindesign121hz512p9,1,5.906313645621181,233.40209317100002
proteindesign122trx11p8,1,3.548941041785919,42.500634985
rB12-111111,1,80.2620249696685,0.3560423039999998
rC10-100001,1,273.4150585668649,0.04691249900000005
radiationm18-12-05,1,157.38358191961746,0.07755584199999999
radiationm40-10-02,1,339.1564946435929,1.8353650530000003
rd-rplusc-21,1,99.31864163008308,5.229170934
reblock115,1,22.438664934188587,36.718190195
rocI-4-11,1,66.44128113287874,11.318783920000001
rocII-5-11,1,98.96431618002877,22.997449071
roll3000,1,13.048875096974399,0.7375017060000001
supportcase42,1,389378727786149.2,0.22911941299999938
swath,1,44.911016688061636,1.2078866280000002
swath1,1,21.616706901501082,0.254528145
swath3,1,12.111022053562959,0.7068359169999999
timtab1,1,32.16174232318528,0.860843561
timtab2,1,50.766761508651754,17.105578463
traininstance2,1,26.37148426622111,0.7174342380000001
traininstance6,1,45.49310710498409,0.7197446810000001
unitcal_7,1,13.16694026063381,45.001781206
