problem,numSols,gap,stage3Time
10teams,1,3.4632034632036848,19.32247166
30n20b8,1,250.66225165562915,3.106079208
arki001,1,2.087729622582816,2.082639612
bab2,1,10.595107090662912,95.71165759800002
bab6,1,15.428126603286914,78.78319943499997
comp21-2idx,1,18112.162162162163,3.091619843
csched007,1,55.27065527065527,39.898965062
csched008,1,9.826589595375722,2.365055175
danoint,1,197.8538812785388,8.015174809
eilA101-2,1,466.38764181779794,21.07057315
fastxgemm-n2r6s0t2,1,2714.2260869565216,0.09680254700000002
fiball,1,10.869565217391305,0.1714781379999999
hypothyroid-k1,1,98.6320589266924,8.075843501999998
ic97p,1,11.060375443937088,0.022902065
ic97t,1,9.58904109589041,1.3132738080000002
icir97p,1,12.58498023715415,12.507418164999999
icir97t,1,10.666666666666666,1.5968807899999997
lectsched-5-obj,1,1500.0,427.86641567400005
milo-v12-6-r2-40-1,1,111.9049760652694,0.311263937
momentum1,1,53.01314774497615,11.190803985
mushroom-best,1,473933.89425694564,0.21212111899999897
neos-1456979,1,115.9090909090909,53.68885494799999
neos-1582420,1,60.43956043956044,2.0989232550000003
neos-2657525-crna,1,962.4070991656486,9.639504523
neos-2746589-doon,1,1024.0414301364406,645.392927912
neos-3046615-murg,1,58.9375,0.014340642
neos-3216931-puriri,1,53.749298934380256,368.372650521
neos-3381206-awhea,1,4.856512141280353,3.9843434550000003
neos-3656078-kumeu,1,734.8947024794643,566.7677876819998
neos-4338804-snowy,1,6246.838885112169,0.148954801
neos-4387871-tavua,1,86.05098838845542,2.4004972690000006
neos-4532248-waihi,1,949.3506493506494,194.32955872999997
neos-4722843-widden,1,30.434578558742288,0.6374401069999998
neos-5107597-kakapo,1,46579.753086419754,2.011720049
neos-848589,1,1849724.9085875577,4.073592906999998
neos16,1,0.4484304932735426,7.8624386600000005
neos20,1,38.24884792626728,0.646948447
nh97p,1,9.379407616361071,12.284665452
nh97t,1,8.180535966149506,9.06406614
ns1208400,1,0.0,156.42962613699999
ns1830653,1,485.82096789836095,6.4945818520000005
physiciansched3-3,0,0,2596.201241327
physiciansched6-2,1,63.31197794177277,22.923798943999998
piperout-08,1,22.031905961376996,5.754231648000001
piperout-27,1,28.43426883308715,57.309512624
proteindesign121hz512p9,1,2.9871011541072643,39.761965374
proteindesign122trx11p8,1,1.0875787063537492,42.524270021999996
rB12-111111,1,75.64381041837893,0.15492252399999984
rC10-100001,1,381.7806404695738,0.03805599400000004
radiationm18-12-05,1,137.07730843675282,0.10012769200000005
radiationm40-10-02,1,130.93003193242686,0.6015018800000007
rd-rplusc-21,1,102.58354698108157,48.205276935
reblock115,1,13.944853984576678,0.597145646
rocI-4-11,1,99.66441330965085,45.94829626
rocII-5-11,1,98.87730446709524,27.166290295
roll3000,1,39.44918541505043,0.057705059
supportcase42,1,389378727786149.2,0.2099898259999975
swath,1,46.27928198545145,17.03986536
swath1,1,172.890756678983,0.8180078640000001
swath3,1,170.3556366091333,0.29379815000000004
timtab1,1,57.73537734120226,0.072074574
timtab2,1,60.87385197476519,6.2548658580000005
traininstance2,1,48.579782790342946,7.609731289000001
traininstance6,1,1528.7380699893956,0.6861045319999999
unitcal_7,1,14.606360824766725,29.530870731999997
