problem,numSols,stage,gap,time,iterations,restarts
10teams,1,1,14.285714285714286,5.593916027,110,4
30n20b8,1,3,1731.1258278145694,21.884751052,797,253
50v-10,1,2,126.68474726782652,0.33108991,26,0
CMS750_4,1,1,70.63492063491991,7.072458153,120,9
a1c1s1,1,1,33.86561255802632,0.576140538,31,1
academictimetablesmall,1,3,inf,659.325693794,961,0
aflow30a,1,1,140.75993091537134,0.117170296,31,1
aflow40b,1,1,228.93835616438355,0.337575421,35,3
air04,1,1,0.10331866683292659,2.519705029,5,0
air05,1,1,3.1015393948585728,1.436264254,14,0
app1-1,1,1,33.333333333333336,0.562522943,36,4
app1-2,1,1,43.90243902439025,11.466705591,55,16
arki001,1,3,2.926031690472137,20.260729743,815,195
assign1-5-8,1,1,0.47169811320849003,0.092784355,20,0
atlanta-ip,1,1,10.011612490155464,15.412789459,21,0
b1c1s1,1,1,183.70127422919836,0.510620093,34,4
bab2,1,1,11.258869517771208,146.408538246,67,2
bab6,1,1,9.165142712003128,68.776474146,43,1
beasleyC3,1,1,10.742705570291777,0.221285304,36,6
binkar10_1,1,1,12.774764578069451,0.021076335,2,0
blp-ar98,1,1,69.47271456658608,2.154764215,18,0
blp-ic98,1,1,30.28640669237616,0.509874719,3,0
bnatt400,1,3,0.0,231.600296876,790,0
bppc4-08,1,1,37.735849056603776,1.132307661,59,9
brazil3,1,2,437.5,17.011890758,20,0
buildingenergy,1,2,1.1620105829017746,607.443291812,11,0
cap6000,1,1,0.34984418961261365,0.033798369,1,0
cbs-cta,1,1,0.0,2.676212045,40,10
chromaticindex1024-7,1,1,0.0,53.75670282,3,0
chromaticindex512-7,1,1,0.0,45.077739921,2,0
cmflsp50-24-8-8,1,3,18.20444641462353,132.317386239,933,303
co-100,1,1,301.976205492934,5.462605272,14,0
cod105,1,1,100.0,1.787353202,1,0
comp07-2idx,1,2,3450.0,6.175026194,27,0
comp21-2idx,1,2,497.2972972972973,4.635430292,28,0
cost266-UUE,1,1,31.457664791586065,0.453532176,32,1
cryptanalysiskb128n5obj16,0,0,0,0,0,0
csched007,1,3,41.59544159544159,10.493381702,1056,216
csched008,1,1,8.092485549132949,1.165655812,120,23
cvs16r128-89,1,1,97.9381443298969,0.96567193,1,0
dano3_3,1,1,0.008979373125562616,17.569538788,18,0
dano3_5,1,1,0.026118179315373188,26.27757763,27,0
dano3mip,1,1,8.810939608636966,148.327443786,69,16
danoint,1,1,15.677321156773207,2.451377241,86,28
disctom,1,1,0.0,1.306098283,2,0
drayage-100-23,1,1,4.795691309995231,0.32231134,12,0
drayage-25-23,1,1,13.061100100094725,0.471509074,17,0
ds,1,1,5538.088235294211,6.224063487,1,0
dws008-01,1,3,34.321167359361226,47.936671453,739,205
eil33-2,1,1,332.455422679737,0.063624028,1,0
eilA101-2,1,1,421.95654364606685,1.055560181,1,0
enlight_hard,0,0,0,0,0,0
exp-1-500-5-5,1,1,57.569778560262264,0.084029517,26,0
fast0507,1,1,18.39080459770115,0.906737069,1,0
fastxgemm-n2r6s0t2,1,1,1185.6521739130435,0.62463906,44,5
fhnw-binpack4-48,1,3,0.0,77.65584495,1941,251
fiball,1,2,17.391304347826086,6.191875473,51,5
fiber,1,1,140.6603147497433,0.063077406,15,0
fixnet6,1,1,58.95053979412503,0.10318564,31,1
gen-ip002,1,2,9.532299706806066,0.00869432,1,0
gen-ip054,1,2,12.647903463882955,0.013210334,4,0
germanrr,1,2,3.3713254148046174,8.627780027,39,3
gesa2-o,1,2,16.150317209123106,0.192822344,32,1
gesa2,1,2,2.311200904592255,0.211502576,26,0
gfd-schedulen180f7d50m30k18,0,0,0,0,0,0
glass-sc,1,1,8.695652173913043,0.565684959,1,0
glass4,1,1,1333.3360416384842,0.47561373,183,80
gmu-35-40,1,1,6.895152435715877,0.107034549,14,0
gmu-35-50,1,1,17.01668324585539,0.651718566,69,12
graph20-20-1rand,1,1,22.22222222222222,4.40666238,43,1
graphdraw-domain,1,2,373.1890683734634,0.834940107,187,70
h80x6320d,1,1,20.943127498488728,1.150421065,32,2
harp2,1,1,12.607910916260842,0.051446261,12,0
highschool1-aigio,1,2,inf,822.265649966,24,0
hypothyroid-k1,1,1,0.0,4.637783359,1,0
ic97p,1,3,14.58650431253171,6.557616657,1019,252
ic97t,1,3,14.459665144596652,3.156338973,999,285
icir97p,1,3,21.07509881422925,20.138825959,904,252
icir97t,1,2,15.27843137254902,9.41370794,342,209
irish-electricity,1,1,6.060036709330466,19.44551973,19,0
irp,1,1,0.3037094976156847,0.214729867,2,0
istanbul-no-cutoff,1,1,41.27674660569923,6.477240595,22,0
k1mushroom,1,1,18.248175182481752,40.225998464,1,0
lectsched-5-obj,1,3,2691.6666666666665,84.66756318,889,2
leo1,1,1,44.05847671137042,0.101919157,1,0
leo2,1,1,40.72545429506654,0.227378952,1,0
liu,1,1,674.7232472324723,1.174791442,89,58
lotsize,1,1,91.19953789872281,0.623873928,59,19
mad,1,1,7044.776119402982,0.144468411,16,0
manna81,1,2,56.73047705864479,0.08504613,3,0
map10,1,1,75.75757575757575,48.113379361,66,19
map16715-04,1,1,80.18018018018019,63.321958565,61,15
markshare1,1,1,24200.0,0.005841561,1,0
markshare2,1,1,27500.0,0.004393633,1,0
markshare_4_0,1,1,7400.0,0.005450193,1,0
mas74,1,2,1233.2933136460697,0.183391083,90,11
mas76,1,2,293.31137894918396,0.184650489,90,10
mc11,1,1,115.62152451022328,0.422477163,42,12
mcsched,1,1,14.556445333698264,0.472194135,4,0
mik-250-20-75-4,1,2,42.11774153457869,0.221676135,35,3
milo-v12-6-r2-40-1,1,1,134.44102631902473,0.965022619,44,14
misc07,1,1,36.654804270462634,0.121559152,20,0
mkc,1,2,60.34161050017743,0.036476628,2,0
mod011,1,1,1.9068557312597594,0.385103103,24,0
modglob,1,1,139.86654265972768,0.073105754,31,1
momentum1,1,3,140.95190191314666,56.334097231,854,424
msc98-ip,1,1,16.608823328713246,6.091558324,31,1
mushroom-best,1,2,10969176.760849686,15.310892366,50,4
mzzv11,1,2,18.00349940141818,3.863404826,21,0
mzzv42z,1,2,16.436222005842257,3.712522989,20,0
n2seq36q,1,1,29.118773946360154,0.401300332,1,0
n3div36,1,1,30.428134556574925,0.386350812,1,0
n5-3,1,2,2.3442319555829734,0.374186738,26,0
neos-1122047,1,1,100.0,0.072421868,0,0
neos-1171448,1,1,63.43042071197411,4.660357745,26,0
neos-1171737,1,1,6.410256410256411,1.909328825,33,2
neos-1354092,1,2,8.695652173913043,174.588594175,43,0
neos-1445765,1,1,26.53657987966035,0.816289541,7,0
neos-1456979,1,3,125.0,97.807224776,1337,131
neos-1582420,1,2,85.71428571428571,3.234157866,211,31
