problem,numSols,stage,gap,time,iterations
neos-2746589-doon,1,3,8.426812585499352,418.906490357,715
neos-2978193-inde,1,1,1.674998929801807e-07,0.164393156,3
neos-2987310-joes,1,2,4.868746089357037,15.752519289,102
neos-3004026-krka,0,3,100,66.186818667,984
neos-3024952-loue,1,3,90.13716404761115,68.518662154,1122
neos-3046615-murg,1,2,10.962715637173066,0.101867314,81
neos-3083819-nubu,1,2,0.7983473510012407,0.039429515,1
neos-3216931-puriri,1,3,56.984318455971106,168.274388647,1015
neos-3381206-awhea,1,3,4.631578947368421,12.51937638,620
neos-3402294-bobin,1,1,83.9018551765411,70.505279362,72
neos-3555904-turama,1,1,4.322766570605187,130.883996086,55
neos-3627168-kasai,1,1,0.8891990293136401,0.146654279,31
neos-3656078-kumeu,1,3,32.29225186377333,187.606862132,1440
neos-3754480-nidda,1,1,99.95214325454295,0.055088088,17
neos-4300652-rahue,1,3,69.74970337307194,1078.768385467,1329
neos-4338804-snowy,1,2,99.9174550337559,0.704059614,98
neos-4387871-tavua,1,2,90.60465218076274,15.076197931,698
neos-4413714-turia,1,1,46.56349612882139,18.102279933,7
neos-4532248-waihi,1,3,90.47029702970296,604.871892184,796
neos-4647030-tutaki,1,1,27.088348163743028,18.964322916,25
neos-4722843-widden,1,2,16.067823795982655,123.222550092,196
neos-4738912-atrato,1,2,7.837157681826658,0.46191958,26
neos-4763324-toguru,1,1,31.71551430708342,15.934091048,11
neos-4954672-berkel,1,1,45.08189864099922,0.040895936,14
neos-5049753-cuanza,1,2,29.83770322485643,506.685576719,243
neos-5052403-cygnet,1,1,0.0,34.524092379,2
neos-5093327-huahum,1,1,17.283298097251585,4.674498435,56
neos-5104907-jarama,1,3,59.383145091225025,1602.06479924,764
neos-5107597-kakapo,1,1,99.7250621155961,2.281221217,172
neos-5114902-kasavu,0,0,0,3600.0,0
neos-5188808-nattai,1,1,97.6174402083889,3.382640335,17
neos-5195221-niemur,1,1,80.1056676040621,7.799435692,15
neos-631710,1,1,59.801980198019805,2.326333163,1
neos-662469,1,2,75.56778918174355,3.904724564,14
neos-787933,1,2,0.0,0.028986652,1
neos-827175,1,1,0.0,0.406716122,0
neos-848589,1,1,99.95877763378768,120.517142691,89
neos-860300,1,1,32.3541842772612,1.020286424,13
neos-873061,1,1,33.5129415811285,26.58451228,32
neos-911970,1,1,69.97313154575863,0.06673007,16
neos-933966,1,1,1.5479876160990713,3.390138267,6
neos-950242,1,1,55.55555555555556,11.597826056,34
neos-957323,1,1,10.917014284202159,1.658712692,1
neos-960392,1,1,2.9411764705882355,15.749513445,63
neos10,1,2,64.49339207048457,0.071922388,2
neos16,0,3,100,6.047119105,850
neos17,1,1,74.492937357149,0.19778468,37
neos20,1,3,76.036866359447,9.731320242,1218
neos5,1,1,6.25,0.015763402,5
neos7,1,2,11.52053965149142,0.051610394,4
neos8,1,2,100.0,0.07790065,2
net12,1,1,8.547008547008547,4.609926768,27
netdiversion,1,1,47.391304347826086,139.990769562,10
nexp-150-20-8-5,1,1,59.33098591549296,0.26228124,3
nh97p,1,3,11.485642946317066,8.013592701,638
nh97t,1,3,9.91105463786531,17.407098613,1711
noswot,1,2,0.0,0.011437589,5
ns1116954,1,3,0.0,962.480512572,1225
