problem,numSols,stage,gap,time,iterations
neos-2978193-inde,1,1,1.674998929801807e-07,0.177281302,3
neos-2987310-joes,1,1,0.17041864432026857,6.720433201,42
neos-3004026-krka,0,3,100,68.067236837,1024
neos-3024952-loue,1,3,88.76242156459213,68.15390028,1253
neos-3046615-murg,1,2,98.99542920287307,0.116020482,95
neos-3083819-nubu,1,2,0.7983473510012407,0.039417065,1
neos-3216931-puriri,1,3,57.31897067624198,421.069531071,1165
neos-3381206-awhea,1,3,4.631578947368421,17.625561156,1131
neos-3402294-bobin,1,1,69.8092031425367,27.472914415,26
neos-3555904-turama,1,2,27.953890489913547,218.254253,169
neos-3627168-kasai,1,1,0.7897356285981494,0.138837556,31
neos-3656078-kumeu,1,3,18.633941179149694,111.935084079,1302
neos-3754480-nidda,1,1,99.95495356490405,0.032919088,10
neos-4300652-rahue,1,3,78.47573293667133,896.837811236,753
neos-4338804-snowy,1,2,75.73007754495958,0.583004901,79
neos-4387871-tavua,1,3,88.26392873867378,21.480123435,863
neos-4413714-turia,1,1,46.56349612882139,18.056972603,7
neos-4532248-waihi,1,3,90.47029702970296,553.928971978,761
neos-4647030-tutaki,1,1,52.36043902504107,8.977450182,10
neos-4722843-widden,1,2,12.760325308667605,63.990578515,112
neos-4738912-atrato,1,2,7.837157681826658,0.473142193,26
neos-4763324-toguru,1,1,26.723632908625085,14.437792685,9
neos-4954672-berkel,1,1,24.766124239227086,0.035402673,12
neos-5049753-cuanza,1,2,35.476464159712975,438.265414959,191
neos-5052403-cygnet,1,1,0.0,38.969160145,2
neos-5093327-huahum,1,1,92.73292934921409,12.820295098,118
neos-5104907-jarama,0,3,100,3600.056609037,696
neos-5107597-kakapo,1,1,99.76865074831487,1.835167045,135
neos-5114902-kasavu,0,0,0,3600.0,0
neos-5188808-nattai,1,1,97.43597555198284,3.341978201,13
neos-5195221-niemur,1,1,89.4655521842594,6.531247679,11
neos-631710,1,1,59.801980198019805,2.323627169,1
neos-662469,1,2,75.24166833396221,3.14851812,11
neos-787933,1,2,0.0,0.028717803,1
neos-827175,1,1,0.0,0.407060223,0
neos-848589,1,1,99.93750482768024,94.260835353,70
neos-860300,1,1,6.293911007025761,0.67244778,8
neos-873061,1,1,33.512941581128494,23.611993064,32
neos-911970,1,1,65.05870342011231,0.072466011,17
neos-933966,1,1,86.31080499354283,4.003486124,21
neos-950242,1,1,55.55555555555556,14.212886254,33
neos-957323,1,1,10.917014284202159,1.651669877,1
neos-960392,1,1,2.100840336134454,9.403294976,37
neos10,1,2,64.49339207048457,0.071464028,2
neos16,0,3,100,8.209794571,1259
neos17,1,1,75.3309590134541,0.203964609,37
neos20,1,3,76.036866359447,6.563576419,737
neos5,1,1,6.25,0.01362535,4
neos7,1,2,11.52053965149142,0.047664935,4
neos8,1,2,100.0,0.077279819,2
net12,1,1,27.7027027027027,3.427084257,18
netdiversion,1,1,54.4256120527307,199.712955438,16
nexp-150-20-8-5,1,1,59.33098591549296,0.258774307,3
nh97p,1,3,8.220064724919094,10.597648094,965
nh97t,1,3,7.441253263707572,13.173914347,1303
noswot,1,2,0.0,0.015357578,5
ns1116954,1,3,0.0,1126.633492602,1304
ns1208400,1,2,1.0000034134094449e-08,165.02788654,840
ns1644855,1,1,21.60507325606806,212.407926139,5
ns1760995,1,1,23.571343507547503,11.744053181,10
ns1830653,1,1,46.60556159701724,4.288594935,66
ns1952667,0,3,100,3607.110027185,641
nsrand-ipx,1,1,18.15856777493606,0.057066336,1
nu25-pr12,1,2,3.06599532458191,0.067394352,3
nursesched-medium-hint03,1,2,88.43058350100604,79.193554534,33
nursesched-sprint02,1,2,34.831460674157306,2.187262571,11
nw04,1,1,3.722736096836816,1.047016841,4
opm2-z10-s4,1,1,94.36712855811717,26.997185311,1
opt1217,1,1,0.0,0.017527276,4
p200x1188c,1,1,4.24842827205182,0.175228835,31
p2756,1,2,44.77638324200106,0.048522064,5
peg-solitaire-a3,0,3,100,519.344263226,1030
pg,1,1,6.24092640183943,0.038108287,8
pg5_34,1,1,6.804587805998697,0.038111533,5
physiciansched3-3,1,1,86.45943553143739,53.438405566,136
physiciansched6-2,1,3,5.922294913120601,100.284732598,1015
piperout-08,1,3,70.19256667373786,61.128744109,1634
piperout-27,1,3,81.57572458837937,78.398267851,1569
pk1,1,1,85.8974358974359,0.070739369,25
pp08a,1,1,43.67816091954023,0.029681511,25
pp08aCUTS,1,1,17.415730337078653,0.018905729,10
proteindesign121hz512p9,1,3,17.70949720670391,259.3341052,1101
proteindesign122trx11p8,1,3,1.1877828054298643,143.753882065,696
protfold,1,1,38.70967741935484,2.726349108,14
qap10,1,1,12.820512820496557,17.512613858,4
qiu,1,1,100.0,0.191335676,10
rB10-011000,1,1,73.20779149217545,0.468465267,25
rB10-011001,1,1,68.63678088479085,0.473076036,25
rB11-010000,1,1,72.30235849806772,1.156599886,28
rB11-110001,1,1,60.18799552932136,2.82252549,25
rB12-111111,1,3,38.89239323776924,53.662150828,710
rC10-001000,1,1,60.60095575342937,0.230585494,29
rC10-100001,1,1,86.40766759628623,4.715062187,118
rC11-010100,1,1,77.62951173928279,0.185611038,1
rC11-011100,1,1,82.77451594814791,0.155961738,1
rC12-100000,1,1,77.18810009158321,4.385285643,39
rC12-111100,1,1,66.09018637929512,0.264306612,1
radiationm18-12-05,1,2,62.23908510501086,1.693281599,79
radiationm40-10-02,1,2,62.25753073160538,25.910177781,252
rail01,1,1,34.56968609141458,1806.602724939,15
rail02,0,3,100,3600.117715474,3
rail507,1,1,11.6751269035533,1.032871487,1
ran14x18-disj-8,1,1,21.105207249128583,0.284718066,31
rd-rplusc-21,1,3,35.40604325047685,38.494283907,1011
reblock115,1,1,7.916754226810965,0.444522815,14
rmatr100-p10,1,1,0.47058823529411764,0.662153546,4
rmatr200-p5,1,1,16.293279022403258,27.106267354,6
rocI-4-11,1,3,66.60908278342109,23.744588946,1170
rocII-5-11,1,1,90.56741100923608,6.113064438,112
roi2alpha3n4,1,1,51.45825825715756,6.606262047,7
roi5alpha10n8,1,1,56.58113205897783,80.914023127,7
roll3000,1,2,28.305245008064965,0.616023988,37
rout,1,2,39.00699585682267,0.155821563,46
s100,1,1,2.9553311131144073,261.948977732,5
s250r10,1,1,0.05382611447755174,49.47901347,2
satellites2-40,1,1,100.0,93.316389454,37
satellites2-60-fs,1,1,100.0,215.333427448,37
savsched1,1,2,7.545326552308115,150.382702374,8
sct2,1,1,31.959375059616146,0.143718881,5
set1ch,1,1,43.47799501500163,0.067564416,31
seymour,1,1,4.943820224719101,0.565424328,1
seymour1,1,1,2.4111133625104935,1.437177109,3
sing326,1,1,39.88611969243931,10.227916346,6
sing44,1,1,16.88641456089794,9.503214376,4
snp-02-004-104,1,2,90.35088911508647,21.269545999,33
sorrell3,1,1,87.5,0.761123169,1
sp150x300d,1,1,2.816901408450704,0.062600261,32
sp97ar,1,1,15.983997930012372,0.992976376,3
sp98ar,1,1,12.182958969390803,0.539095977,1
splice1k1,1,1,98.98477157360406,59.324090669,9
square41,1,2,6.25,1915.278334933,11
square47,0,3,100,3601.949473677,9
supportcase10,1,1,22.22222222222222,130.089218772,10
supportcase12,1,2,10.20399511179017,4.519589447,4
supportcase18,1,1,27.272727272727273,0.122832835,1
supportcase26,1,1,38.33085759071242,0.189355665,78
supportcase33,1,2,82.6086956521739,15.7550464,175
supportcase40,1,1,40.97982840557211,1.629103704,7
supportcase42,1,2,17.246402907619288,2.387720799,5
supportcase6,1,1,0.45347134011323437,4.683656253,4
supportcase7,1,1,22.59322599038936,4.997893039,11
swath,1,2,66.99487378912117,26.07464556,320
swath1,1,1,15.870301462032213,1.393187653,50
swath3,1,1,41.52561986882479,2.210436296,68
t1717,1,1,65.2766268846249,115.790145822,43
tbfp-network,1,1,8.90168871961852,10.201311893,10
thor50dday,1,1,73.36430736786609,10.027781413,35
timtab1,1,2,38.4777017748504,0.503784517,149
timtab2,1,3,47.66845040751885,6.34565464,985
tr12-30,1,1,37.86202663545399,0.112549177,26
traininstance2,1,2,88.78898567013206,2.350247791,553
traininstance6,1,2,27.312435765673175,0.205424024,88
trento1,1,1,15.02296834386276,13.02703115,13
triptim1,1,2,0.14845800165874895,20.15648659,4
uccase12,1,1,1.026233275505179,8.243325422,14
uccase9,1,1,66.98937889466427,10.826129863,32
uct-subprob,1,1,22.469135802469136,0.47133536,6
unitcal_7,1,3,25.300867317340774,140.29572647,1070
var-smallemery-m6j6,1,1,18.347285801018526,2.388863472,5
vpm2,1,1,32.68292682926829,0.027089763,25
wachplan,1,2,0.0,1.118148924,13
