problem,numSols,gap,stage3Time
10teams,1,5.194805194805195,16.412445684
30n20b8,1,166.88741721854305,1.549510477
arki001,1,2.3058688153447786,1.6143977780000003
bab2,1,8.827223839078844,119.728728115
bab6,1,13.581250903455118,84.18291787599999
comp21-2idx,1,15754.054054054053,3.5904421230000008
csched007,1,95.72649572649573,50.766793773
csched008,1,9.826589595375722,0.08372814300000009
danoint,1,197.8538812785388,0.07494081399999997
eilA101-2,1,466.38764181779794,18.308214786999997
fastxgemm-n2r6s0t2,1,2714.2260869565216,0.09796822100000013
fiball,1,7.971014492753623,1.3851843160000001
hypothyroid-k1,1,99.61417046650298,20.067819436999997
ic97p,1,14.865550481988839,0.05276121
ic97t,1,12.100456621004566,1.408636251
icir97p,1,12.079051383399209,11.154606408000001
icir97t,1,4.125490196078432,0.18687890899999993
lectsched-5-obj,1,1316.6666666666667,249.919070517
milo-v12-6-r2-40-1,1,106.97074586037529,0.46103333700000004
momentum1,1,323.3030521364366,1.4810719500000005
mushroom-best,1,14683331.571047995,0.31357690100000113
neos-1456979,1,170.45454545454547,59.963245901
neos-1582420,1,19.78021978021978,1.527196956
neos-2657525-crna,1,923.7655046422802,10.069305168
neos-2746589-doon,1,1010.0985957573947,151.986921303
neos-3046615-murg,1,58.9375,0.009053838000000002
neos-3216931-puriri,1,56.30959057767807,2213.319331425
neos-3381206-awhea,1,4.856512141280353,2.4951218429999997
neos-3656078-kumeu,0,0,3530.283007097
neos-4338804-snowy,1,926.3766145479266,0.13728870799999998
neos-4387871-tavua,1,202.99538208392443,7.1683304340000005
neos-4532248-waihi,1,949.3506493506494,363.750251981
neos-4722843-widden,1,67.47137784495445,5.445426419
neos-5107597-kakapo,1,46629.62962962963,0.38753684
neos-848589,1,1849724.9085875577,61.478016386
neos16,1,0.4484304932735426,81.675651932
neos20,1,38.24884792626728,0.747215749
nh97p,1,5.994358251057828,8.262898490000001
nh97t,1,9.661495063469676,4.550710331
ns1208400,1,0.0,256.611971386
ns1830653,1,485.82096789836095,6.436017559000001
physiciansched3-3,1,1041.70356514562,203.68698409700005
physiciansched6-2,1,75.58997648203714,64.53472504
piperout-08,1,159.8320738874895,14.141669149
piperout-27,1,40.989660265878875,54.128603114
proteindesign121hz512p9,1,4.820095044127631,39.476032747000005
proteindesign122trx11p8,1,1.2020606754436176,41.808439292
rB12-111111,1,75.74165394700795,1.360292137
rC10-100001,1,1247.2508635690726,0.48265117599999985
radiationm18-12-05,1,410.99282705226005,0.35844137499999995
radiationm40-10-02,1,334.0009528224145,1.6786069440000002
rd-rplusc-21,1,102.58354698108157,9.930272612
reblock115,1,100.0,0.6960076379999999
rocI-4-11,1,66.44128113287874,20.471857894000003
rocII-5-11,1,98.8059148067221,40.283574494
roll3000,1,51.427463149728474,1.030492481
supportcase42,1,389378730261212.2,0.5065620799999948
swath,1,55.7054893025246,0.2036659930000001
swath1,1,190.24463431206104,1.573834178
swath3,1,150.90066246980987,1.686759717
timtab1,1,72.20295722119796,0.13082660200000001
timtab2,1,62.15063471211899,1.9228448710000001
traininstance2,1,18.045112781954888,17.732540481
traininstance6,1,1413.3616118769883,0.6757389930000002
unitcal_7,1,11.497689994741195,55.662151263999995
